word,times_added,times_removed,net_change,absolute_change
festivity,8,8,0,16
remain,8,8,0,16
rural,8,8,0,16
treatment,8,7,1,15
1982,8,10,-2,18
plants,8,11,-3,19
systematic,8,9,-1,17
constitute,8,8,0,16
2nd,8,8,0,16
founding,8,8,0,16
enslaved,8,8,0,16
response,8,8,0,16
infected,8,9,-1,17
incan,8,8,0,16
zealand,8,8,0,16
residents,8,8,0,16
jews,8,7,1,15
syllabic,8,8,0,16
family,8,9,-1,17
isolation,8,8,0,16
algeria,8,8,0,16
cambridge,8,8,0,16
skeleton,8,8,0,16
erikson,8,8,0,16
ireland,8,8,0,16
diverse,8,8,0,16
thanksgiving,8,8,0,16
recorded,8,9,-1,17
japanese,8,8,0,16
defined,8,6,2,14
ce,8,8,0,16
historian,8,11,-3,19
1730,8,8,0,16
cut,8,8,0,16
june,8,8,0,16
refer,8,9,-1,17
case,8,7,1,15
leader,8,7,1,15
plant,8,8,0,16
sponsored,8,8,0,16
estimate,8,8,0,16
69,8,8,0,16
festa,8,8,0,16
boston,8,7,1,15
wealth,8,9,-1,17
tehuelche,8,8,0,16
dominican,8,15,-7,23
hold,8,8,0,16
stringed,8,8,0,16
conquests,8,7,1,15
19,8,10,-2,18
written,8,9,-1,17
view,8,8,0,16
current,8,8,0,16
italys,8,8,0,16
achievement,8,7,1,15
chinese,8,7,1,15
existence,8,8,0,16
apache,8,8,0,16
vermont,8,7,1,15
divided,8,8,0,16
programs,8,8,0,16
races,8,8,0,16
cepal,8,8,0,16
indígenas,8,8,0,16
recognizes,8,9,-1,17
1815,8,8,0,16
located,8,8,0,16
question,7,7,0,14
rest,7,7,0,14
survived,7,7,0,14
larger,7,6,1,13
mary,7,8,-1,15
authority,7,7,0,14
immigration,7,7,0,14
landed,7,8,-1,15
gave,7,9,-2,16
immigrant,7,8,-1,15
represented,7,6,1,13
young,7,8,-1,15
wisconsin,7,9,-2,16
derived,7,7,0,14
dates,7,8,-1,15
january,7,7,0,14
censo,7,7,0,14
christian,7,6,1,13
customs,7,7,0,14
ties,7,6,1,13
paid,7,7,0,14
research,7,7,0,14
400th,7,7,0,14
distribution,7,7,0,14
tobago,7,7,0,14
provides,7,7,0,14
returned,7,6,1,13
html,7,5,2,12
peopling,7,7,0,14
rate,7,7,0,14
monumental,7,8,-1,15
exact,7,7,0,14
extended,7,8,-1,15
genetically,7,7,0,14
cholera,7,8,-1,15
popular,7,7,0,14
discoverer,7,5,2,12
amazonia,7,7,0,14
collective,7,7,0,14
decolonization,7,7,0,14
1763,7,7,0,14
howard,7,6,1,13
initially,7,7,0,14
achieved,7,7,0,14
ancestral,7,7,0,14
agree,7,8,-1,15
encyclopedia,7,10,-3,17
workers,7,7,0,14
yellow,7,8,-1,15
internal,7,8,-1,15
codified,7,6,1,13
widespread,7,7,0,14
depicted,7,7,0,14
female,7,7,0,14
high,7,9,-2,16
communal,7,7,0,14
horse,7,7,0,14
despite,7,7,0,14
bringing,7,5,2,12
metropole,7,8,-1,15
notable,7,7,0,14
conditions,7,8,-1,15
instrument,7,7,0,14
macmillan,7,7,0,14
45,7,6,1,13
owed,7,8,-1,15
greatest,7,8,-1,15
municipalities,7,7,0,14
chapter,7,7,0,14
portion,7,8,-1,15
policies,7,8,-1,15
multi,7,7,0,14
taíno,7,8,-1,15
emphasize,7,7,0,14
designate,7,7,0,14
sold,7,7,0,14
horses,7,7,0,14
upper,7,7,0,14
losses,7,8,-1,15
faced,7,8,-1,15
varies,7,8,-1,15
leading,7,7,0,14
ruled,7,7,0,14
transatlantic,7,6,1,13
methods,7,8,-1,15
2015,7,8,-1,15
varied,7,7,0,14
festivities,7,7,0,14
pope,7,7,0,14
65,7,8,-1,15
northwest,7,7,0,14
1917,7,7,0,14
scotland,7,6,1,13
sale,7,8,-1,15
descendents,7,5,2,12
poster,7,7,0,14
150,7,7,0,14
nahua,7,7,0,14
thumbnail,7,7,0,14
minorities,7,7,0,14
eighty,7,7,0,14
illustration,7,7,0,14
altai,7,7,0,14
dependencies,7,7,0,14
populated,7,9,-2,16
cause,7,6,1,13
male,7,7,0,14
theory,7,8,-1,15
surveys,7,7,0,14
maintain,7,7,0,14
multiple,7,6,1,13
china,7,10,-3,17
siege,7,8,-1,15
school,7,9,-2,16
want,7,7,0,14
85,7,6,1,13
grew,7,7,0,14
67,7,7,0,14
establishing,7,7,0,14
expressed,7,6,1,13
1775,7,7,0,14
polynesian,7,6,1,13
violent,7,7,0,14
belief,7,7,0,14
hunter,7,7,0,14
real,7,7,0,14
benjamin,7,8,-1,15
suriname,7,7,0,14
swedish,7,11,-4,18
300,7,10,-3,17
brazilians,7,7,0,14
granted,7,7,0,14
decades,7,9,-2,16
beings,7,7,0,14
inhabited,7,8,-1,15
mid,7,6,1,13
suggests,7,7,0,14
200,7,8,-1,15
creation,7,7,0,14
surrounding,7,7,0,14
numerous,7,7,0,14
instance,7,7,0,14
institute,7,6,1,13
